,title,director,writers,top_5_billed,rotten_tomato_rating,audience_rating
80,Spider-Man: Homecoming,['Jon Watts'],"['Jonathan M. Goldstein', ' John Francis Daley', ' Jon Watts', ' Christopher Ford', ' Chris McKenna (II)', ' Erik Sommers']","['Tom Holland (II) ', 'Michael Keaton ', 'Robert Downey Jr. ', 'Gwyneth Paltrow ', 'Zendaya ']",92,87
81,Up,"['Linn Patrick', ' Pete Docter', ' Bob Peterson']","['Bob Peterson', ' Pete Docter', ' Tom McCarthy', ' Ronnie del Carmen']","['Luis Varela ', 'Matías Prats ', 'Miguel de la Quadra-Salcedo ', 'Sebastián Álvaro ', 'Claudio Rodríguez ']",98,90
82,Ralph Breaks The Internet,"['Phil Johnston', ' Rich Moore']","['Phil Johnston', ' Pamela Ribon']","['John C. Reilly ', 'Sarah Silverman ', 'Gal Gadot ', 'Jack McBrayer ', 'Jane Lynch ']",88,65
83,Monsters vs. Aliens,['Robert Porter'],"['In Theaters:Mar 27', ' 2009\xa0wide']","['Seth Rogen ', 'James Horan ', 'David Kaye ', 'Julie White ', 'Kiefer Sutherland ']",73,59
84,Cars 3,['Brian Fee'],"['Kiel Murray', ' Bob Peterson', ' Mike Rich']","['Owen Wilson ', 'Kerry Washington ', 'Nathan Fillion ', 'Lea DeLaria ', 'Armie Hammer ']",70,69
85,G.I. Joe: The Rise of Cobra,['Stephen Sommers'],"['Stuart Beattie', ' Paul Lovett', ' David Elliot']","['Adewale Akinnuoye-Agbaje ', 'Christopher Eccleston ', 'Joseph Gordon-Levitt ', 'Dennis Quaid ', 'Channing Tatum ']",34,50
86,Wild Wild West,['Barry Sonnenfeld'],"['Jim Thomas', ' John Thomas', ' Barry Sonnenfeld', ' Peter S. Seaman', ' S.S. Wilson', ' Jeffrey Price', ' Brent Maddock']","['Will Smith ', 'Kevin Kline ', 'Kenneth Branagh ', 'Frederique Van Der Wal ', 'Ted Levine ']",17,28
87,Evan Almighty,['Tom Shadyac'],"['Alec Sokolow', ' Steve Oedekerk', ' Josh Stolberg', ' Bobby Florsheim', ' Joel Cohen']","['Steve Carell ', 'Morgan Freeman ', 'Lauren Graham ', 'Wanda Sykes ', 'Graham Phillips ']",23,52
88,Waterworld,['Kevin Reynolds'],"['Peter Rader', ' David Twohy']","['Kevin Costner ', 'Jeanne Tripplehorn ', 'Tina Majorino ', 'Dennis Hopper ', 'Michael Jeter ']",46,43
89,Dolittle,['Stephen Gaghan'],['Stephen Gaghan'],"['Robert Downey Jr. ', 'Antonio Banderas ', 'Michael Sheen ', 'Harry Collett ', 'Emma Thompson ']",14,76
90,King Arthur: Legend of the Sword,['Guy Ritchie'],"['Joby Harold', ' Guy Ritchie', ' Lionel Wigram']","['Charlie Hunnam ', 'Astrid Bergès-Frisbey ', 'Djimon Hounsou ', 'Aidan Gillen ', 'Jude Law ']",31,69
91,Jurassic World: Fallen Kingdom,['J.A. Bayona'],"['Colin Trevorrow', ' Derek Connolly']","['Chris Pratt ', 'Bryce Dallas Howard ', 'Rafe Spall ', 'Justice Smith ', 'Daniella Pineda ']",47,48
92,Guardians of the Galaxy,['James Gunn (II)'],"['James Gunn (II)', ' James Gunn', ' Nicole Perlman', ' Dan Abnett', ' Andy Lanning', ' Bill Mantlo', ' Jim Starlin', ' Steve Gerber']","['Chris Pratt ', 'Zoe Saldana ', 'Dave Bautista ', 'Lee Pace ', 'Michael Rooker ']",91,92
93,Iron Man 2,['Written By:Justin Theroux'],"['In Theaters:May 7', ' 2010\xa0wide']","['Robert Downey Jr. ', 'Gwyneth Paltrow ', 'Don Cheadle ', 'Mickey Rourke ', 'Sam Rockwell ']",73,71
94,Captain America: The Winter Soldier,"['Joe Russo', ' Anthony Russo']","['Christopher Markus', ' Stephen McFeely', ' Jack Kirby']","['Chris Evans ', 'Samuel L. Jackson ', 'Scarlett Johansson ', 'Anthony Mackie ', 'Sebastian Stan ']",90,92
